Domain,Unique Subdomains,Times Looked Up
pbvrtszvn9wmv7i83myrperqu9rjq5u/psrhghoqo+m=.attacker.com,1,2
uzcqv3+75uko1qmdwo/ng7iqo7knijw1lrzzdslco9w=.attacker.com,1,2
urozrvhrp6p+oitlfvjizr3ic8xghiujf7ann4fyobk=.attacker.com,1,2
r0hobhtowe8mrjnbt9xujcqzkzjkiy2lb3eyvg5hsec=.attacker.com,1,2
nsx4p1zagcowzvwnoav2cepzehs1sybxgz7ns/euqqk=.attacker.com,1,2
c0b/iwydinyulpdi6ebg6ylyswsbvuhu53u4vm5udeg=.attacker.com,1,4
ny+k325fko2sqsdw6wngmaxoeitj6fg9grnrexxbj44=.attacker.com,1,2
abwfsq45cn7rzi2ewytq+a2zp9pp78kt0kailf6j13y=.attacker.com,1,2
ilh0lqeja1fsy2aguxx7z+b2o908amy+qdskxzjvsii=.attacker.com,1,2
whwo6z6mu1f0fsxvwky/absja3xuvhxdqxqucvmf9d4=.attacker.com,1,2
axw9zwf2r2yhd4vrwdlpfx+daa8zv/0k30m8ubzc4mq=.attacker.com,1,2
xelxw/jszlrufspl65wividezkvvpif7dard9qtgsme=.attacker.com,1,2
7t5+z1xxm0ehtxhrkcpqnynk6tzzirludrygrojapzm=.attacker.com,1,2
ia5/j/gsttpfs2fb3symfpmbkovhasl6mfdpf8mrt2a=.attacker.com,1,3
qnenpj19mbfvwqiy6limatvelqm1fd8ztueumlrzrx4=.attacker.com,1,2
kagmzp3lf/9i/bvwbs+qb1er+vznsivhm8wxedgql2q=.attacker.com,1,2
7qllmxbnpixc+8oobusc8p5b65tbhrxpz0sjutjix5o=.attacker.com,1,2
ntp.ubuntu.com,1,2
